# ID | judul | adegan | kategori | grammar | 核心 | 補充
B14|我們班有二十幾個學生。|Membandingkan sistem sekolah Indonesia & Taiwan|8|55,106|班 年級 小學 高中 開學 上學 書包 成績 差不多 一半|部分/部份 所
B15|他中文說得很好！|Belajar bahasa: memuji & membicarakan kemampuan bahasa|8,1|42,57|語言/語 英語 日文 日語 德文 法文 練習 字典 清楚 講|
B16|中文要怎麼學？|Minta saran cara belajar dari senior|8|25,48|學習 方法 努力 用功 念書/唸書 記得 忘 簡單 準備 考|需要/需
B17|我找到那本書了！|Di perpustakaan & toko buku|8|89,52|圖書館 書店 課本 本子 作業 找到 聽到 報紙 行2|
B18|明天會下雪嗎？|Membaca prakiraan cuaca untuk rencana liburan|13|33,23|下雪 雪 冬天/冬 春天/春 夏天/夏 秋天/秋 如果 要是 變 樹|
B19|台北比雅加達冷。|Membandingkan cuaca & kota Taiwan dan Indonesia|13,14|94,95|比較/較 更1 北 南 東 西 北部 世界 聲音/聲1|
B20|這件外套太大了。|Mencoba baju di toko|9|80,83|外套 大衣 褲子/褲 裙子/裙 帽子/帽 試 戴 脫 眼鏡 手錶/手表/錶/表1|
B21|我要大一點的。|Memilih ukuran & warna lain|9|87,81|顏色 色 黃 綠 藍 條 雙 支 輕 重1|
B22|超市的東西都很便宜嗎？|Belanja kebutuhan di supermarket & minimarket|9|61,75|超市/超級市場 便利商店 超商 商店 百貨公司 袋 袋子 盒子/盒 瓶子/瓶 罐子/罐|
B23|可以用信用卡嗎？|Membayar di kasir|9|51,24|付 信用卡 錢包 皮包 背包 客人 老闆/老板 賣 算 包|
B24|這個蛋糕又香又甜。|Mencicipi kue & kudapan|10|18,82|蛋糕 點心 甜點 冰淇淋 糖 香 味道/味 酸 鹹 辣|臭
B25|我們炒了青菜就吃飯！|Memasak bersama di dapur asrama|10|37,99|炒 炸1 烤 青菜 刀子/刀 盤子/盤 叉子/叉 湯匙 火腿 冰塊|
B26|這個好喝嗎？多甜？|Mencoba minuman di kedai teh|10|98,103|紅茶 奶茶 果汁 可樂 汽水 啤酒 渴 蘋果 香蕉 西瓜|
B27|老闆，我要兩個饅頭。|Membeli makanan di pasar malam|10|26,76|夜市 市場 饅頭 餃子/餃 漢堡 三明治 熱狗 份 種1 道1|
B28|去那家餐廳怎麼樣？|Memilih restoran & membaca menu|10|65,70|菜單 餐 間1 茶館 飯店 有名 特別 或是 別的 那麼|這麼 家@kata-bantu-bilangan-toko
B29|車站離這裡遠不遠？|Menanyakan jarak ke stasiun|5|41,101|車站 離 遠 近 街 馬路 地圖 離開 哪2|
B30|往前走，到路口右轉。|Memberi & mengikuti petunjuk arah|5|100,72|往 向 路口 十字路口 轉1 經過 回 回到|
B31|從台北到台中怎麼去？|Merencanakan rute bus & kendaraan antarkota|5|73,85|巴士 公共汽車 汽車 司機 腳踏車 騎 接 台/臺 部|
B32|快上車！我們去機場。|Berangkat ke bandara & check-in|5|104,92|機場 飛 空1 還2 加|
B33|我是坐飛機來的。|Bercerita tentang perjalanan pertama ke Taiwan|5|97,17|旅行 已經 剛剛/剛 本來 以為 好像 句 當然 事情|
B34|一下車就看到海了。|Jalan-jalan ke pantai & sungai di luar kota|5,13|96,93|海 河 草 鳥 風景 片 地2|
B35|我跟朋友一起去旅行。|Menginap di hotel bersama teman|5,6|68,40|旅館 替 讓 行1|
B36|請問，郵局在哪裡？|Mengirim paket di kantor pos & ke bank|11|69,49|郵局 郵票 寄 信 銀行 借|
B37|我的錢包不見了！怎麼辦？|Kehilangan dompet di jalan|12|36,67|不見了 掉 怎麼辦 被 火|
B38|這裡不能游泳。|Membaca papan larangan & peringatan|12|34,105|小心 注意 重要|
B39|你怎麼了？|Di klinik: menjelaskan gejala|7|71,50|醫院 病人 護士 肚子/肚 臉 頭髮/髮|
B40|因為我感冒了，所以今天不能上課。|Izin sakit ke dosen|7|77,28|健康 但是/但 不過 雖然/雖 才|
B41|我跟他說對不起了。|Bertengkar & berbaikan dengan teman|16,6|38,45|生氣 難過 哭 笑 聽說 比方說/比方|
B42|我喜歡的人很聰明。|Mendeskripsikan sifat orang|16|60,102|聰明 笨 可愛 奇怪 心 有意思 有用|
B43|你看起來很緊張。|Membaca ekspresi & perasaan teman|16|86,16|緊張 辛苦 苦 敢 發現 相信 地1|
B44|過年，有的人回家，有的人去旅行。|Tahun Baru Imlek di Taiwan|15|78,90|過年 新年 文化 有的|
B45|我認為這個想法很好。|Diskusi pendapat di kelas|16|91,107|認為 想法 希望 願意|
B46|我決定了，就去臺灣念書！|Memutuskan rencana studi|16|19,31|決定 打算|

